1,Albela,2001,Romance,Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,2
2,Lagaan: Once Upon a Time in India,2001,Adventure | Drama | Musical,Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne,6
3,Meri Biwi Ka Jawab Nahin,2004,Action | Comedy,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,1
4,Hum Tumhare Hain Sanam,2002,Drama | Romance,Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,4
6,Devdas,2002,Musical | Romance,Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,6
7,Aap Mujhe Achche Lagne Lage,2002,Action | Drama | Romance,Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,2
8,Kabhi Khushi Kabhie Gham...,2001,Drama | Musical | Romance,Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,8
9,Na Tum Jaano Na Hum,2002,Comedy | Drama | Musical,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,1
10,Yaadein...,2001,Musical | Drama | Romance,Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri,2
11,Zubeidaa,2001,Adventure | Biography | Drama,Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,1
12,Chori Chori Chupke Chupke,2001,Drama | Musical | Romance,Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,5
13,Main Prem Ki Diwani Hoon,2003,Musical | Drama | Romance,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,2
14,Officer,2001,Action | Crime | Drama,Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,2
15,Chandni Bar,2001,Crime | Drama,Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,5
16,Kuch Khatti Kuch Meethi,2001,Drama | Family,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,2
17,Censor,2001,Musical | Romance,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,1
18,Farz,2001,Action,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,4
19,Mujhe Meri Biwi Se Bachaao,2001,Comedy | Musical | Family,Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,1
20,Mujhse Dosti Karoge!,2002,Musical | Romance | Drama,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,2
21,Daman: A Victim of Marital Violence,2001,Drama | Family,Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen,1
22,Aashiq,2001,Action | Comedy | Drama,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,3
23,Dil Ne Phir Yaad Kiya,2001,Drama | Musical | Romance,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,1
24,Pyaar Diwana Hota Hai,2002,Romance,Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,1
25,Grahan,2001,Drama | Romance,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,1
26,Rahul,2001,Drama,Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,1
27,Ajnabee,2001,Crime | Mystery | Thriller,Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu,4
29,Chhupa Rustam: A Musical Thriller,2001,Crime | Drama | Romance,Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill,3
30,The Guru,2002,Comedy | Fantasy | Music,Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean,1
31,Pyaar Tune Kya Kiya...,2001,Thriller,Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni,3
32,Bas Itna Sa Khwaab Hai...,2001,Romance,Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff,1
33,Gadar: Ek Prem Katha,2001,Action | Drama | Romance,Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey,9
34,Mujhe Kucch Kehna Hai,2001,Romance,Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna,7
35,Paagalpan,2001,Romance,Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,1
36,Love Ke Liye Kuch Bhi Karega,2001,Comedy | Crime | Romance,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,2
37,Uljhan,2001,Drama,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,1
38,Aks,2001,Thriller | Mystery,Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,2
39,Tum Bin...: Love Will Find a Way,2001,Drama | Romance,Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth,4
40,Nayak: The Real Hero,2001,Drama | Action,Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever,2
41,Dil Chahta Hai,2001,Comedy | Drama,Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta,4
42,Hum Ho Gaye Aap Ke,2001,Musical,Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan,1
43,Yeh Raaste Hain Pyaar Ke,2001,Romance |Drama,Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale,2
44,Lajja,2001,Drama | Musical | Crime,Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit,2
45,Kaante,2002,Action | Crime | Drama,Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar,3
46,Shirdi Sai Baba,2001,Drama | Mystery,Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,1
47,Bollywood Bound,2003,Documentary,Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon,1
48,Company,2002,Action | Crime | Thriller,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,4
49,Ittefaq,2001,Action | Drama | Thriller,Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,1
50,Yeh Teraa Ghar Yeh Meraa Ghar,2001,Comedy | Drama,Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,2
